brand,url,description,primary_image,promo_price,color,price,category,crawl_date,title,retailer_site
kate spade,https://www.katespade.com/products/margaux-haircalf-mini-satchel/PXRUA531.html,"we crafted our margaux mini satchel from luxe calf hair in a fierce leopard print and trimmed it with the original refined grain leather for a trendy twist on a timeless silhouette. defined by its curved, feminine silhouette, molded handles and functional interior, margaux features two slip pockets and a domed zipper compartment, inspired by the lines of a scallop, with even more storage space inside. an adjustable crossbody strap gives you the option to go hands-free. the leather luggage tag is finished with an enamel spade.",https://katespade.insnw.net/KateSpade/PXRUA531_245?$s7fullsize$,,natural multi,298.00,handbags satchels,2019-08-22 16:33:39.085716,margaux haircalf mini satchel,https://www.katespade.com/
kate spade,https://www.katespade.com/products/nicola-snake-embossed-twistlock-small-convertible-chain-shoulder-bag/PXRUA616.html,"as seen on our fall 2019 runway: the nicola twistlock small convertible shoulder bag in our new luxe python-embossed italian leather. true to the original handbag of the same name, its strong silhouette is balanced with soft, feminine details like rounded corners and refined, jewelry-like hardware, including a beautiful chain strap that doubles for a shorter look. a spade heart twistlock with a (very) satisfying 'click' closure adorns the front; the plunge on the back slip pocket is a seductively subtle nod to the curves of our signature mark. inside, a zipper pocket and additional slip pocket keep your essentials organized.",https://katespade.insnw.net/KateSpade/PXRUA616_897?$s7fullsize$,,marigold,398.00,handbags shoulder bags,2019-08-22 16:34:13.739705,nicola snake embossed twistlock small convertible chain shoulder bag,https://www.katespade.com/
kate spade,https://www.katespade.com/products/nicola-haircalf-twistlock-chain-wallet/PWRU7494.html,"our nicola twistlock flap chain wallet is crafted from smooth italian leather, with a vibrant leopard-print calf hair flap and a mini spade heart twistlock closure. inside, there's space and pockets for your growing card and receipt collection, plus a few lipsticks. wear it with a bigger satchel like we showed on our fall 2019 runway, or detach the jewelry-like chain strap to carry it as a clutch or use as a pouch in another bag.",https://katespade.insnw.net/KateSpade/PWRU7494_515?$s7fullsize$,,purple multi,298.00,wallets wristlets pouches,2019-08-22 16:34:15.706832,nicola haircalf twistlock chain wallet,https://www.katespade.com/
kate spade,https://www.katespade.com/products/nicola-haircalf-twistlock-small-convertible-chain-shoulder-bag/PXRUA608.html,"as seen on our fall 2019 runway: the nicola twistlock small convertible shoulder bag in luxe calf hair printed with fierce leopard spots. true to the original handbag of the same name, its strong silhouette is balanced with soft, feminine details like rounded corners and refined, jewelry-like hardware, including a beautiful chain strap that doubles for a shorter look. a spade heart twistlock with a (very) satisfying 'click' closure adorns the front; the plunge on the back slip pocket is a seductively subtle nod to the curves of our signature mark. inside, a zipper pocket and additional slip pocket keep your essentials organized.",https://katespade.insnw.net/KateSpade/PXRUA608_515?$s7fullsize$,,purple multi,448.00,handbags shoulder bags,2019-08-22 16:34:16.855428,nicola haircalf twistlock small convertible chain shoulder bag,https://www.katespade.com/
kate spade,https://www.katespade.com/products/margaux-leopard-medium-convertible-crossbody/PXRUA532.html,"we finished the refined grain leather of our margaux medium convertible crossbody with a fierce leopard pattern for a playful twist on a sleek silhouette. don't let its narrowness fool you. there are pockets and cardholders to store lots of your essentials, and an adjustable crossbody strap that clips off, transforming the bag into a clutch.",https://katespade.insnw.net/KateSpade/PXRUA532_673?$s7fullsize$,,pink multi,198.00,handbags cross body,2019-08-22 16:34:19.054734,margaux leopard medium convertible crossbody,https://www.katespade.com/
kate spade,https://www.katespade.com/products/margaux-leopard-large-satchel/PXRUA537.html,"we printed the refined grain leather of our margaux large satchel with a fierce leopard pattern for a playful twist on a timeless silhouette. defined by its curved, feminine silhouette, molded handles and functional interior, margaux features two slip pockets and a domed zipper compartment, inspired by the lines of a scallop, with even more storage space inside. an adjustable crossbody strap gives you the option to go hands-free. the leather luggage tag is finished with an enamel spade.",https://katespade.insnw.net/KateSpade/PXRUA537_245?$s7fullsize$,,natural multi,358.00,handbags satchels,2019-08-22 16:34:19.944767,margaux leopard large satchel,https://www.katespade.com/
kate spade,https://www.katespade.com/products/margaux-denim-medium-satchel/PXRUA529.html,"we updated our margaux medium satchel in deep navy denim for fall--it's a mix of polished and casual we're really feeling right now. it's a bag timelessly defined by its curved, feminine silhouette, molded handles and functional interior, with two slip pockets and a domed zipper compartment, inspired by the lines of a scallop, with even more storage space inside. an adjustable crossbody strap gives you the option to go hands-free, and the leather luggage tag is finished with an enamel spade.",https://katespade.insnw.net/KateSpade/PXRUA529_434?$s7fullsize$,,dark denim,298.00,handbags satchels,2019-08-22 16:34:45.133535,margaux denim medium satchel,https://www.katespade.com/
kate spade,https://www.katespade.com/products/polly-small-slim-bifold-wallet/PWRU7175.html,"from the soft pebbled leather to the pretty tonal enamel spade, we think this polly slim bifold wallet is just dreamy. but don't be deceived by its name. once opened, this petite piece reveals six credit card slots, a zipper coin pocket and an i.d. holder.",https://katespade.insnw.net/KateSpade/PWRU7175_527?$s7fullsize$,83.00,orchid,118.00,wallets small wallets,2019-08-22 16:34:46.398740,polly small slim bifold wallet,https://www.katespade.com/
kate spade,https://www.katespade.com/products/sylvia-medium-bifold-wallet/PWRU7230.html,"a chic and functional way to hold your cards, cash and love notes. we filled this elegant wallet with plenty of slots (those curves you see are inspired by the lines of a scallop) and pockets so organizing will never be an issue again. we also made it in our crossgrain leather to stay pristine for years to come.",https://katespade.insnw.net/KateSpade/PWRU7230_429_R?$s7fullsize$,148.00,blazer blue,118.00,the monogram shop,2019-08-22 16:34:47.279613,sylvia medium bifold wallet,https://www.katespade.com/
kate spade,https://www.katespade.com/products/romy-snake-embossed-medium-satchel/PXRUA691.html,"you might recognize this bold medium satchel from our fall 2019 runway show. romy is hard to miss with its fierce python-embossed italian leather. inside, you'll find a buttery-soft faux microsuede lining and a large slip pocket spacious enough to hold a small wallet. an optional and adjustable strap allows you to sling it over your shoulder when you need a free hand for hot chocolate. and don't worry about setting it down--the tiny feet will keep it beautiful for years to come. our spade heart twistlock doubles as clever décor and a very pretty closure.",https://katespade.insnw.net/KateSpade/PXRUA691_899?$s7fullsize$,428.00,cherrywood,118.00,handbags satchels,2019-08-22 16:34:48.323530,romy snake-embossed medium satchel,https://www.katespade.com/
kate spade,https://www.katespade.com/products/crepe-studded-skirt/NJMU9102.html,"our out west collection pays homage to the whimsical spirit of the west--our design inspiration this fall. while few could argue that a black crepe mini skirt is anything but cosmopolitan, there's a little bit of cowgirl in this version.",https://katespade.insnw.net/KateSpade/NJMU9102_001?$s7fullsize$,160.00,black,228.00,sale clothing,2019-08-22 16:34:49.222826,crepe studded skirt,https://www.katespade.com/
kate spade,https://www.katespade.com/products/washington-square-sam/PXRU9031.html,"our story begins in 1993 with a boxy, black nylon handbag called sam. we wanted something utilitarian and timeless--a bag that could go with everything from jeans to a cocktail dress. sam did, and women and fashion editors alike swooned. this year for our 25th anniversary, we brought back sam in a bevy of colors and sizes you'll want to lovingly hold and gaze at for years to come.",https://katespade.insnw.net/KateSpade/PXRU9031_966?$s7fullsize$,125.00,red poppy field,178.00,sale handbags wallets,2019-08-22 16:34:51.400466,washington square sam,https://www.katespade.com/
kate spade,https://www.katespade.com/products/grace-avenue-ring-holder/L820939.html,with engraved grosgrain ribbon and bow grace avenue adds the perfect touch to a playful finish.,https://katespade.insnw.net/KateSpade/L820939_046?$s7fullsize$,32.00,sterling,40.00,sale home,2019-08-22 16:34:53.140401,grace avenue ring holder,https://www.katespade.com/
kate spade,https://www.katespade.com/products/larabee-dot-decanter/L836196.html,"our delightful larabee dot design makes a case for the polka dot as the ultimate chic motif, and our champagne flutes and stemless wine glasses are the perfect case in point with their etched crystal accents and sleek shape.",https://katespade.insnw.net/KateSpade/L836196_000?$s7fullsize$,56.00,crystal,70.00,sale home,2019-08-22 16:34:54.667717,larabee dot decanter,https://www.katespade.com/
kate spade,https://www.katespade.com/products/dive-in-baking-dish/L856737.html,"this pretty polka-dotted baking dish can go straight from the oven to your table, and is perfect for everything from meats to veggies to lasagna to desserts. (a note at the bottom reminds you to ""dive in."")",https://katespade.insnw.net/KateSpade/L856737_001?$s7fullsize$,32.00,black/white,40.00,sale view all,2019-08-22 16:34:55.916198,dive in baking dish,https://www.katespade.com/
kate spade,https://www.katespade.com/products/mega-check-scarf/KS1000688.html,this pretty piece will keep you warm and chic when the temperature drops. (your winter wardrobe s not complete without it.),https://katespade.insnw.net/KateSpade/KS1000688_142?$s7fullsize$,83.00,cream,138.00,sale accessories,2019-08-22 16:34:56.691708,mega check scarf,https://www.katespade.com/
kate spade,https://www.katespade.com/products/in-a-word-5x7-frame/L874918.html,"a picture's worth a thousand words, but here's a special one to start.",https://katespade.insnw.net/KateSpade/L874918_046?$s7fullsize$,40.00,multi,50.00,sale view all,2019-08-22 16:34:58.395583,in a word 5x7 frame,https://www.katespade.com/
kate spade,https://www.katespade.com/products/pasta-rectangular-food-storage-container/L883475.html,"pasta lovers, cooks and hostesses, rejoice--this charming set covers all your foodie prep and presentation needs.",https://katespade.insnw.net/KateSpade/L883475_100?$s7fullsize$,29.00,multi,36.00,sale view all,2019-08-22 16:34:59.320269,pasta rectangular food storage container,https://www.katespade.com/
kate spade,https://www.katespade.com/products/cameron-street-brennan/PWRU6201.html,"with its sleek shape and snap-close top, the cameron street brennan can be carried crossbody or clutch-style, making it a perfect match for everything from dresses to jeans. did we mention it s made from crosshatched leather that's scratch-resistant and wipes clean, too?",https://katespade.insnw.net/KateSpade/PWRU6201_913_R?$s7fullsize$,104.00,tusk/black,148.00,sale handbags wallets,2019-08-22 16:35:00.359668,cameron street brennan,https://www.katespade.com/
kate spade,https://www.katespade.com/products/rosy-glow-ring-dish/L874832.html,recapture the rosy glow of your loveliest memories with this rose gold and silver-hued ring dish.,https://katespade.insnw.net/KateSpade/L874832_046?$s7fullsize$,40.00,old gold,50.00,sale view all,2019-08-22 16:35:02.273888,rosy glow ring dish,https://www.katespade.com/
